Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Basophils abs. (Tsd./µl)†,"Age (years), centered",0,0.002,"[-0.004, 0.004]",0.9711,0.9897,ns,213
CRP (mg/l)†,"Age (years), centered",-0.001,0.004,"[-0.008, 0.007]",0.8715,0.9897,ns,223
Platelets (Tsd./µl)†,"Age (years), centered",0,0.001,"[-0.001, 0.002]",0.9856,0.9897,ns,219
Total Cholesterol (mg/dl),"Age (years), centered",0.001,0.092,"[-0.18, 0.182]",0.9897,0.9897,ns,223
LDL-C (mg/dl),Sex: Male (vs Female),-4.41,1.809,"[-7.975, -0.846]",0.0156,0.1323,ns,223
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),-4.505,1.865,"[-8.182, -0.829]",0.0165,0.1323,ns,223
Total Cholesterol (mg/dl),Sex: Male (vs Female),-5.373,2.034,"[-9.382, -1.364]",0.0089,0.1323,ns,223
Uric Acid (mg/dl),Sex: Male (vs Female),0.426,0.202,"[0.028, 0.824]",0.0359,0.2151,ns,223
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.084,0.049,"[-0.18, 0.012]",0.0873,0.2620,ns,213
GFR (ml/min),Sex: Male (vs Female),-1.643,0.874,"[-3.366, 0.081]",0.0616,0.2620,ns,223
GOT/AST (U/l)†,Sex: Male (vs Female),0.053,0.03,"[-0.006, 0.111]",0.0775,0.2620,ns,221
Platelets (Tsd./µl)†,Sex: Male (vs Female),-0.03,0.017,"[-0.064, 0.004]",0.0803,0.2620,ns,219
Insulin (mIU/l)†,Sex: Male (vs Female),0.169,0.102,"[-0.032, 0.37]",0.0986,0.2630,ns,223
CRP (mg/l)†,Sex: Male (vs Female),-0.111,0.084,"[-0.276, 0.054]",0.1851,0.3606,ns,223
Ferritin (µg/l)†,Sex: Male (vs Female),0.031,0.022,"[-0.012, 0.073]",0.1591,0.3606,ns,223
GPT/ALT (U/l)†,Sex: Male (vs Female),0.033,0.027,"[-0.019, 0.086]",0.2149,0.3606,ns,223
Gamma-GT (U/l),Sex: Male (vs Female),-0.63,0.486,"[-1.588, 0.329]",0.1969,0.3606,ns,222
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.036,0.026,"[-0.088, 0.016]",0.1724,0.3606,ns,219
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.043,0.035,"[-0.027, 0.113]",0.2254,0.3606,ns,219
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.044,0.058,"[-0.071, 0.159]",0.4516,0.6527,ns,167
Serum Glucose (mg/dl),Sex: Male (vs Female),1.58,2.146,"[-2.65, 5.811]",0.4623,0.6527,ns,223
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.031,0.056,"[-0.081, 0.142]",0.5859,0.7030,ns,217
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.024,0.042,"[-0.059, 0.108]",0.5655,0.7030,ns,208
Triglycerides (mg/dl)†,Sex: Male (vs Female),-0.016,0.026,"[-0.067, 0.036]",0.5450,0.7030,ns,223
HDL-C (mg/dl),Sex: Male (vs Female),-0.232,0.521,"[-1.259, 0.796]",0.6573,0.7512,ns,223
ESR (mm/h)†,Sex: Male (vs Female),0.024,0.068,"[-0.111, 0.158]",0.7290,0.7953,ns,219
Alkaline Phosphatase (U/l),Sex: Male (vs Female),-0.205,0.695,"[-1.576, 1.165]",0.7679,0.8013,ns,223
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),0.004,0.027,"[-0.049, 0.056]",0.8900,0.8900,ns,219
